,bins,count
0,109869.0,0.0
1,109869.22222222222,0.0
2,109869.44444444444,0.0
3,109869.66666666667,3.0
4,109869.88888888889,6.0
5,109870.11111111111,8.0
6,109870.33333333333,9.0
7,109870.55555555556,10.0
8,109870.77777777778,10.0
9,109871.0,10.0
